id,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose
0,56,female,0,free,little,moderate,18521,6,furniture/equipment
1,69,female,2,free,moderate,nan,15280,21,business
2,46,male,1,free,moderate,rich,3988,23,furniture/equipment
3,32,female,3,own,rich,moderate,15043,9,business
4,60,male,1,own,nan,moderate,6394,32,radio/TV
5,25,female,1,rent,nan,rich,13877,7,business
6,38,female,0,free,quite rich,moderate,11734,44,repairs
7,56,male,0,rent,moderate,rich,14293,42,car
8,36,male,0,free,quite rich,nan,3843,34,domestic appliances
9,40,male,0,rent,rich,little,3981,38,education
10,28,female,1,free,moderate,rich,13070,38,furniture/equipment
11,28,female,2,rent,quite rich,nan,2439,14,repairs
12,41,male,3,own,quite rich,nan,14430,30,furniture/equipment
13,70,male,3,own,rich,moderate,9769,43,business
14,53,male,2,rent,rich,rich,10909,31,domestic appliances
15,57,female,3,free,nan,rich,4231,38,repairs
16,41,female,1,own,little,rich,12686,52,business
17,20,male,2,rent,rich,rich,1625,53,repairs
18,39,female,0,own,rich,little,13957,25,car
19,70,female,0,rent,moderate,nan,13260,17,furniture/equipment
20,19,female,0,rent,nan,moderate,17773,30,business
21,41,male,1,own,rich,nan,15406,44,business
22,61,female,0,own,quite rich,rich,19154,8,car
23,47,male,0,rent,quite rich,rich,5253,55,repairs
24,55,male,0,rent,nan,nan,3486,35,radio/TV
25,19,male,3,rent,nan,little,2582,39,car
26,38,male,2,rent,moderate,rich,18016,44,radio/TV
27,50,male,3,rent,rich,little,3805,29,car
28,29,male,1,own,rich,moderate,16602,21,furniture/equipment
29,39,female,1,free,quite rich,rich,5641,50,radio/TV
30,61,male,1,rent,quite rich,little,18027,32,furniture/equipment
31,42,female,3,free,little,nan,19580,8,education
32,66,female,2,free,nan,nan,1278,15,education
33,44,female,0,free,nan,nan,15645,6,repairs
34,59,female,1,rent,rich,little,19482,55,education
35,45,male,1,own,little,nan,3650,12,car
36,33,female,3,free,moderate,little,11945,47,domestic appliances
37,32,male,0,rent,nan,little,14361,11,education
38,64,male,0,own,rich,rich,17957,17,car
39,68,female,3,own,rich,rich,18364,42,education
40,61,male,3,free,rich,little,4264,38,car
41,72,female,3,free,quite rich,little,19082,43,car
42,69,male,2,free,rich,little,18236,52,education
43,74,male,1,own,little,little,17822,50,radio/TV
44,20,male,1,own,little,rich,8215,56,repairs
45,54,female,1,own,moderate,rich,11761,24,business
46,68,female,2,free,quite rich,little,11098,58,business
47,24,male,3,free,little,nan,8791,19,furniture/equipment
