id,Age,Sex,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Default,Loan Eligibility
0.0,56.0,female,free,little,moderate,18521.0,6.0,furniture/equipment,1,No
1.0,69.0,female,free,moderate,moderate,15280.0,21.0,business,0,Yes
2.0,46.0,male,free,moderate,rich,3988.0,23.0,furniture/equipment,0,Yes
3.0,32.0,female,own,rich,moderate,15043.0,9.0,business,0,Yes
4.0,60.0,male,own,moderate,moderate,6394.0,32.0,radio/TV,1,No
5.0,25.0,female,rent,moderate,rich,13877.0,7.0,business,1,No
6.0,38.0,female,free,quite rich,moderate,11734.0,44.0,repairs,1,No
7.0,56.0,male,rent,moderate,rich,14293.0,42.0,car,0,Yes
8.0,36.0,male,free,quite rich,moderate,3843.0,34.0,domestic appliances,0,Yes
9.0,40.0,male,rent,rich,little,3981.0,38.0,education,0,Yes
10.0,28.0,female,free,moderate,rich,13070.0,38.0,furniture/equipment,1,No
11.0,28.0,female,rent,quite rich,moderate,2439.0,14.0,repairs,0,Yes
12.0,41.0,male,own,quite rich,moderate,14430.0,30.0,furniture/equipment,0,Yes
13.0,70.0,male,own,rich,moderate,9769.0,43.0,business,1,No
14.0,53.0,male,rent,rich,rich,10909.0,31.0,domestic appliances,1,No
15.0,57.0,female,free,moderate,rich,4231.0,38.0,repairs,0,Yes
16.0,41.0,female,own,little,rich,12686.0,52.0,business,1,No
17.0,20.0,male,rent,rich,rich,1625.0,53.0,repairs,0,Yes
18.0,39.0,female,own,rich,little,13957.0,25.0,car,1,No
19.0,70.0,female,rent,moderate,moderate,13260.0,17.0,furniture/equipment,0,Yes
20.0,19.0,female,rent,moderate,moderate,17773.0,30.0,business,0,Yes
21.0,41.0,male,own,rich,moderate,15406.0,44.0,business,1,No
22.0,61.0,female,own,quite rich,rich,19154.0,8.0,car,0,Yes
23.0,47.0,male,rent,quite rich,rich,5253.0,55.0,repairs,0,Yes
24.0,55.0,male,rent,moderate,moderate,3486.0,35.0,radio/TV,0,Yes
25.0,19.0,male,rent,moderate,little,2582.0,39.0,car,0,Yes
26.0,38.0,male,rent,moderate,rich,18016.0,44.0,radio/TV,1,No
27.0,50.0,male,rent,rich,little,3805.0,29.0,car,0,Yes
28.0,29.0,male,own,rich,moderate,16602.0,21.0,furniture/equipment,0,Yes
29.0,39.0,female,free,quite rich,rich,5641.0,50.0,radio/TV,1,No
30.0,61.0,male,rent,quite rich,little,18027.0,32.0,furniture/equipment,0,Yes
31.0,42.0,female,free,little,moderate,19580.0,8.0,education,1,No
32.0,66.0,female,free,moderate,moderate,1278.0,15.0,education,0,Yes
33.0,44.0,female,free,moderate,moderate,15645.0,6.0,repairs,0,Yes
34.0,59.0,female,rent,rich,little,19482.0,55.0,education,0,Yes
35.0,45.0,male,own,little,moderate,3650.0,12.0,car,0,Yes
36.0,33.0,female,free,moderate,little,11945.0,47.0,domestic appliances,1,No
37.0,32.0,male,rent,moderate,little,14361.0,11.0,education,1,No
38.0,64.0,male,own,rich,rich,17957.0,17.0,car,0,Yes
39.0,68.0,female,own,rich,rich,18364.0,42.0,education,0,Yes
40.0,61.0,male,free,rich,little,4264.0,38.0,car,1,No
41.0,72.0,female,free,quite rich,little,19082.0,43.0,car,1,No
42.0,69.0,male,free,rich,little,18236.0,52.0,education,1,No
43.0,74.0,male,own,little,little,17822.0,50.0,radio/TV,1,No
44.0,20.0,male,own,little,rich,8215.0,56.0,repairs,1,No
45.0,54.0,female,own,moderate,rich,11761.0,24.0,business,0,Yes
46.0,68.0,female,free,quite rich,little,11098.0,58.0,business,1,No
47.0,24.0,male,free,little,moderate,8791.0,19.0,furniture/equipment,0,Yes
48.0,38.0,male,rent,rich,little,6004.0,45.0,car,0,Yes
49.0,26.0,female,rent,moderate,rich,6844.0,24.0,furniture/equipment,0,Yes
50.0,56.0,male,free,quite rich,moderate,13161.0,12.0,domestic appliances,0,Yes
51.0,35.0,female,own,little,little,12102.0,27.0,furniture/equipment,1,No
52.0,21.0,female,own,moderate,moderate,15197.0,15.0,business,0,Yes
53.0,42.0,female,free,moderate,moderate,16553.0,38.0,education,0,Yes
54.0,31.0,female,rent,moderate,moderate,13147.0,23.0,domestic appliances,0,Yes
55.0,67.0,male,free,quite rich,little,14881.0,29.0,car,0,Yes
56.0,26.0,female,free,moderate,moderate,7741.0,57.0,repairs,1,No
57.0,43.0,female,own,quite rich,little,6722.0,20.0,car,1,No
58.0,70.0,female,free,moderate,moderate,938.0,23.0,radio/TV,1,No
59.0,19.0,female,free,quite rich,little,6648.0,28.0,radio/TV,1,No
60.0,37.0,male,own,moderate,little,14820.0,29.0,radio/TV,1,No
61.0,45.0,female,own,little,moderate,293.0,29.0,education,1,No
62.0,64.0,male,own,moderate,rich,6070.0,37.0,repairs,0,Yes
63.0,24.0,female,own,moderate,rich,19374.0,6.0,car,0,Yes
64.0,61.0,female,rent,quite rich,moderate,3929.0,54.0,repairs,0,Yes
65.0,25.0,male,rent,quite rich,moderate,17176.0,58.0,radio/TV,0,Yes
66.0,64.0,female,free,moderate,rich,5719.0,41.0,car,1,No
67.0,52.0,male,own,little,little,17331.0,27.0,radio/TV,1,No
68.0,31.0,female,own,moderate,moderate,17490.0,24.0,education,1,No
69.0,34.0,male,own,moderate,little,10469.0,57.0,furniture/equipment,0,Yes
70.0,53.0,male,rent,rich,moderate,9809.0,7.0,car,0,Yes
71.0,67.0,male,free,little,moderate,6168.0,7.0,business,1,No
72.0,57.0,male,free,moderate,rich,13904.0,46.0,furniture/equipment,1,No
73.0,21.0,male,free,moderate,rich,11462.0,18.0,repairs,0,Yes
74.0,19.0,female,own,little,moderate,1777.0,7.0,repairs,0,Yes
75.0,23.0,male,rent,little,moderate,8464.0,33.0,repairs,0,Yes
76.0,71.0,male,own,little,moderate,7637.0,22.0,education,0,Yes
77.0,59.0,female,own,little,rich,12111.0,18.0,education,1,No
78.0,21.0,male,rent,quite rich,moderate,6260.0,27.0,domestic appliances,0,Yes
79.0,71.0,female,free,little,rich,6884.0,29.0,repairs,1,No
80.0,46.0,female,rent,quite rich,little,4146.0,50.0,education,0,Yes
81.0,35.0,male,own,little,rich,366.0,35.0,repairs,0,Yes
82.0,43.0,male,own,moderate,moderate,11025.0,21.0,repairs,0,Yes
83.0,61.0,male,rent,rich,rich,2069.0,7.0,education,0,Yes
84.0,51.0,male,rent,quite rich,rich,6129.0,12.0,car,0,Yes
85.0,27.0,male,rent,rich,moderate,1290.0,6.0,domestic appliances,0,Yes
86.0,53.0,male,free,quite rich,rich,11997.0,52.0,business,0,Yes
87.0,31.0,female,free,quite rich,little,17814.0,24.0,radio/TV,0,Yes
88.0,48.0,female,rent,little,little,18952.0,35.0,radio/TV,1,No
89.0,65.0,female,rent,moderate,little,3656.0,55.0,radio/TV,1,No
90.0,32.0,female,own,little,rich,19535.0,56.0,radio/TV,1,No
91.0,25.0,male,rent,moderate,moderate,12402.0,52.0,radio/TV,0,Yes
92.0,31.0,male,free,little,moderate,8917.0,46.0,domestic appliances,0,Yes
93.0,40.0,female,rent,little,moderate,2005.0,22.0,domestic appliances,0,Yes
94.0,74.0,male,rent,moderate,moderate,17505.0,39.0,car,0,Yes
95.0,57.0,male,rent,moderate,moderate,9726.0,47.0,car,0,Yes
96.0,38.0,female,own,moderate,rich,5531.0,54.0,radio/TV,0,Yes
97.0,33.0,female,free,rich,moderate,18988.0,10.0,domestic appliances,0,Yes
98.0,62.0,female,rent,quite rich,moderate,8110.0,38.0,repairs,1,No
99.0,35.0,female,own,quite rich,moderate,2749.0,36.0,business,1,No
100.0,64.0,male,rent,little,moderate,10036.0,35.0,radio/TV,1,No
101.0,70.0,female,free,quite rich,rich,962.0,41.0,education,0,Yes
102.0,41.0,male,own,moderate,moderate,4989.0,50.0,repairs,0,Yes
103.0,43.0,female,own,moderate,moderate,3301.0,43.0,domestic appliances,0,Yes
104.0,42.0,female,own,moderate,moderate,16259.0,31.0,furniture/equipment,0,Yes
105.0,62.0,female,free,moderate,moderate,11447.0,41.0,business,1,No
106.0,58.0,male,rent,rich,little,3966.0,37.0,business,1,No
107.0,46.0,male,own,quite rich,moderate,4238.0,44.0,business,0,Yes
108.0,32.0,male,free,moderate,moderate,1271.0,26.0,car,0,Yes
109.0,62.0,male,own,quite rich,little,1995.0,18.0,repairs,1,No
110.0,18.0,female,own,moderate,moderate,15655.0,47.0,car,1,No
111.0,42.0,female,own,rich,moderate,5899.0,58.0,domestic appliances,1,No
112.0,24.0,female,free,moderate,little,5150.0,46.0,business,0,Yes
113.0,26.0,female,free,little,moderate,17593.0,39.0,domestic appliances,0,Yes
114.0,41.0,male,rent,little,little,7336.0,19.0,radio/TV,1,No
115.0,18.0,female,own,little,rich,12054.0,36.0,car,0,Yes
116.0,61.0,female,rent,little,moderate,17597.0,42.0,domestic appliances,0,Yes
117.0,25.0,female,rent,moderate,moderate,12864.0,55.0,domestic appliances,1,No
118.0,41.0,male,own,moderate,rich,9588.0,51.0,car,0,Yes
119.0,28.0,male,own,rich,little,18480.0,26.0,business,1,No
120.0,68.0,male,rent,rich,moderate,7624.0,19.0,domestic appliances,0,Yes
121.0,34.0,female,own,little,moderate,18425.0,37.0,car,0,Yes
122.0,25.0,male,own,little,moderate,19902.0,6.0,business,1,No
123.0,52.0,male,rent,little,rich,8516.0,52.0,car,1,No
124.0,52.0,female,own,little,moderate,1834.0,52.0,car,1,No
125.0,50.0,male,own,quite rich,moderate,7187.0,45.0,education,0,Yes
126.0,22.0,female,free,moderate,rich,5425.0,27.0,business,0,Yes
127.0,59.0,female,own,little,rich,6282.0,23.0,radio/TV,0,Yes
128.0,56.0,male,free,moderate,moderate,11019.0,20.0,education,1,No
129.0,58.0,female,own,rich,moderate,2605.0,56.0,repairs,0,Yes
130.0,45.0,female,rent,moderate,moderate,14852.0,6.0,furniture/equipment,0,Yes
131.0,24.0,female,rent,quite rich,little,19465.0,44.0,furniture/equipment,1,No
132.0,26.0,female,free,rich,little,18592.0,39.0,furniture/equipment,1,No
133.0,25.0,male,own,little,rich,1437.0,28.0,repairs,1,No
134.0,29.0,female,free,little,moderate,7432.0,55.0,furniture/equipment,0,Yes
135.0,51.0,male,own,rich,moderate,13936.0,42.0,business,0,Yes
136.0,50.0,female,own,little,moderate,10792.0,55.0,domestic appliances,1,No
137.0,65.0,female,own,little,rich,13740.0,21.0,domestic appliances,0,Yes
138.0,72.0,female,free,little,moderate,11998.0,53.0,business,1,No
139.0,40.0,female,free,rich,moderate,4932.0,45.0,domestic appliances,0,Yes
140.0,41.0,female,free,quite rich,moderate,17171.0,12.0,domestic appliances,0,Yes
141.0,54.0,female,rent,quite rich,moderate,13558.0,22.0,domestic appliances,0,Yes
142.0,52.0,female,free,moderate,moderate,16954.0,59.0,education,0,Yes
143.0,61.0,male,own,quite rich,moderate,12078.0,21.0,furniture/equipment,0,Yes
144.0,57.0,male,free,quite rich,little,5089.0,13.0,business,1,No
145.0,39.0,male,rent,little,little,5844.0,29.0,repairs,1,No
146.0,44.0,female,rent,moderate,little,5447.0,11.0,business,0,Yes
147.0,52.0,male,rent,quite rich,little,5733.0,22.0,car,0,Yes
148.0,18.0,female,free,moderate,moderate,4163.0,13.0,radio/TV,1,No
149.0,52.0,male,rent,rich,moderate,3958.0,19.0,radio/TV,0,Yes
150.0,54.0,male,rent,quite rich,rich,6020.0,28.0,repairs,0,Yes
151.0,64.0,female,rent,little,moderate,16067.0,6.0,education,1,No
152.0,31.0,female,rent,moderate,little,6930.0,52.0,car,1,No
153.0,20.0,female,rent,little,little,2983.0,20.0,furniture/equipment,1,No
154.0,18.0,female,free,moderate,moderate,6310.0,39.0,furniture/equipment,0,Yes
155.0,22.0,female,rent,moderate,rich,6123.0,29.0,business,0,Yes
156.0,43.0,male,free,rich,moderate,13848.0,23.0,car,0,Yes
157.0,72.0,female,own,quite rich,moderate,18554.0,21.0,domestic appliances,0,Yes
158.0,31.0,female,free,moderate,little,9313.0,39.0,repairs,1,No
159.0,56.0,female,free,moderate,moderate,16490.0,11.0,repairs,0,Yes
